"ape_preco","ape_precom2","ape_area","ape_dorm","ape_suite","ape_banheiro","ape_vaga","cond_nome","cond_end","cond_ano","cond_n_torres","cond_elevador","salao.de.festas","espaco.gourmet","academia","salao.de.jogos","brinquedoteca","playground","churrasqueira","quadra","area.verde","piscina","espaco.zen","lavanderia","coworking","espaco.mulher","salao.de.festas.infantil","zeu","sp_nome","latitude","longitude","gi_df"
4584790.19,15210.64,301.42,4,4,4,6,"MONTESSORI","r aguapei, 140 . vila gomes cardim",2015,1,1,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,"MOOCA",-23.5522416,-46.5605411,1
1098239.07,15158.58,72.45,2,2,2,2,"MONTPELLIER SAUDE","r dias de toledo, 288 . saude",2017,1,1,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,"VILA MARIANA",-23.6145383,-46.6343713,1
1006445.48,13891.59,72.45,2,1,2,1,"MONTPELLIER SAUDE","r dias de toledo, 288 . saude",2017,1,1,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,"VILA MARIANA",-23.6145383,-46.6343713,1
1632623.95,17956.72,90.92,3,1,2,2,"MONTREAL CONCEPT HOME","r caetanos, 42 . cidade mae do ceu",2014,1,1,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,"MOOCA",-23.5552106,-46.5700108,1
2862168.18,17843.95,160.4,3,3,3,3,"MONTREAL CONCEPT HOME","r caetanos, 42 . cidade mae do ceu",2014,1,1,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,"MOOCA",-23.5552106,-46.5700108,1
529574.67,15130.7,35,1,0,1,1,"MONUMENT","r guinle, 274 . vila monumento",2018,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,"IPIRANGA",-23.5766725,-46.6124024,1
726867.19,11723.66,62,1,0,1,2,"MONUMENT","r guinle, 274 . vila monumento",2018,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,"IPIRANGA",-23.5766725,-46.6124024,1
765806.5,10210.76,75,1,0,1,2,"MONUMENT","r guinle, 274 . vila monumento",2018,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,"IPIRANGA",-23.5766725,-46.6124024,1
608060,8786.99,69.2,2,1,2,1,"MONUMENTO SAO PAULO","r doutor luiz migliano, 1870 . parque reboucas",0,3,1,1,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,"CAMPO LIMPO",-23.6214819,-46.7435731,1
715429,8154.9,87.73,3,1,2,2,"MONUMENTO SAO PAULO","r doutor luiz migliano, 1870 . parque reboucas",0,3,1,1,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,"CAMPO LIMPO",-23.6214819,-46.7435731,1
676209,6360.13,106.32,3,1,2,2,"MONUMENTO SAO PAULO","r doutor luiz migliano, 1870 . parque reboucas",0,3,1,1,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,"CAMPO LIMPO",-23.6214819,-46.7435731,1
1050266,8261.35,127.13,4,2,3,2,"MONUMENTO SAO PAULO","r doutor luiz migliano, 1870 . parque reboucas",0,3,1,1,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,"CAMPO LIMPO",-23.6214819,-46.7435731,1
1066455,8235.17,129.5,4,2,3,2,"MONUMENTO SAO PAULO","r doutor luiz migliano, 1870 . parque reboucas",0,3,1,1,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,"CAMPO LIMPO",-23.6214819,-46.7435731,1
605885,8261.32,73.34,2,1,2,1,"MONUMENTO SAO PAULO","r doutor luiz migliano, 1870 . parque reboucas",0,3,1,1,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,"CAMPO LIMPO",-23.6214819,-46.7435731,1
557120,6265.41,88.92,3,1,2,1,"MONUMENTO SAO PAULO","r doutor luiz migliano, 1870 . parque reboucas",0,3,1,1,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,"CAMPO LIMPO",-23.6214819,-46.7435731,1
777590,8587.41,90.55,3,1,2,2,"MONUMENTO SAO PAULO","r doutor luiz migliano, 1870 . parque reboucas",0,3,1,1,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,"CAMPO LIMPO",-23.6214819,-46.7435731,1
1134898,8927.07,127.13,4,2,3,3,"MONUMENTO SAO PAULO","r doutor luiz migliano, 1870 . parque reboucas",0,3,1,1,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,"CAMPO LIMPO",-23.6214819,-46.7435731,1
1141631,8815.68,129.5,4,2,3,3,"MONUMENTO SAO PAULO","r doutor luiz migliano, 1870 . parque reboucas",0,3,1,1,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,"CAMPO LIMPO",-23.6214819,-46.7435731,1
857117,9465.68,90.55,3,1,2,3,"MONUMENTO SAO PAULO","r doutor luiz migliano, 1870 . parque reboucas",0,3,1,1,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,"CAMPO LIMPO",-23.6214819,-46.7435731,1
631521.88,9126.04,69.2,2,1,1,1,"MONUMENTO SAO PAULO","r doutor luiz migliano, 1870 . parque reboucas",0,3,1,1,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,"CAMPO LIMPO",-23.6214819,-46.7435731,1
696123.2,9491.72,73.34,2,1,2,1,"MONUMENTO SAO PAULO","r doutor luiz migliano, 1870 . parque reboucas",0,3,1,1,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,"CAMPO LIMPO",-23.6214819,-46.7435731,1
1206839.27,9492.95,127.13,4,2,3,2,"MONUMENTO SAO PAULO","r doutor luiz migliano, 1870 . parque reboucas",0,3,1,1,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,"CAMPO LIMPO",-23.6214819,-46.7435731,1
915253.03,10107.71,90.55,3,1,3,2,"MONUMENTO SAO PAULO","r doutor luiz migliano, 1870 . parque reboucas",0,3,1,1,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,"CAMPO LIMPO",-23.6214819,-46.7435731,1
1228373.04,9522.27,129,4,2,3,2,"MONUMENTO SAO PAULO","r doutor luiz migliano, 1870 . parque reboucas",0,3,1,1,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,"CAMPO LIMPO",-23.6214819,-46.7435731,1
1354189.86,10497.59,129,4,2,3,3,"MONUMENTO SAO PAULO","r doutor luiz migliano, 1870 . parque reboucas",0,3,1,1,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,"CAMPO LIMPO",-23.6214819,-46.7435731,1
800677.11,9126.61,87.73,3,1,2,2,"MONUMENTO SAO PAULO","r doutor luiz migliano, 1870 . parque reboucas",0,3,1,1,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,"CAMPO LIMPO",-23.6214819,-46.7435731,1
1254646.95,9869.01,127.13,4,0,3,3,"MONUMENTO SAO PAULO","r doutor luiz migliano, 1870 . parque reboucas",0,3,1,1,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,"CAMPO LIMPO",-23.6214819,-46.7435731,1
980937.81,10833.11,90.55,3,0,2,3,"MONUMENTO SAO PAULO","r doutor luiz migliano, 1870 . parque reboucas",0,3,1,1,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,"CAMPO LIMPO",-23.6214819,-46.7435731,1
760995.38,7064.57,107.72,3,1,2,2,"MONUMENTO SAO PAULO","r doutor luiz migliano, 1870 . parque reboucas",0,3,1,1,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,"CAMPO LIMPO",-23.6214819,-46.7435731,1
666869.77,7162.17,93.11,3,1,2,2,"MONUMENTO SAO PAULO","r doutor luiz migliano, 1870 . parque reboucas",0,3,1,1,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,"CAMPO LIMPO",-23.6214819,-46.7435731,1
1174470.89,8541.61,137.5,4,2,3,2,"MONUMENTO SAO PAULO","r doutor luiz migliano, 1870 . parque reboucas",0,3,1,1,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,"CAMPO LIMPO",-23.6214819,-46.7435731,1
1153343.42,8535.07,135.13,4,2,3,2,"MONUMENTO SAO PAULO","r doutor luiz migliano, 1870 . parque reboucas",0,3,1,1,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,"CAMPO LIMPO",-23.6214819,-46.7435731,1
1118808.12,7955.69,140.63,4,2,3,2,"MONUMENTO SAO PAULO","r doutor luiz migliano, 1870 . parque reboucas",0,3,1,1,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,"CAMPO LIMPO",-23.6214819,-46.7435731,1
428989.05,6681.03,64.21,2,1,2,1,"MOOB IPIRANGA","r campante, 406 . vila independencia",2022,3,1,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,"IPIRANGA",-23.5975614,-46.5932119,1
500927.64,6602.45,75.87,3,1,2,2,"MOOB IPIRANGA","r campante, 406 . vila independencia",2022,3,1,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,"IPIRANGA",-23.5975614,-46.5932119,1
411264.03,5942.27,69.21,1,0,1,1,"MOOB IPIRANGA","r campante, 406 . vila independencia",2022,3,1,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,"IPIRANGA",-23.5975614,-46.5932119,1
526198.24,6399.1,82.23,3,1,2,1,"MOOB IPIRANGA","r campante, 406 . vila independencia",2022,3,1,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,"IPIRANGA",-23.5975614,-46.5932119,1
659323.13,5318.4,123.97,3,1,2,1,"MOOB IPIRANGA","r campante, 406 . vila independencia",2022,3,1,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,"IPIRANGA",-23.5975614,-46.5932119,1
482039.68,5167.11,93.29,2,0,1,1,"MOOB IPIRANGA","r campante, 406 . vila independencia",2022,3,1,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,"IPIRANGA",-23.5975614,-46.5932119,1
526198.24,6355.05,82.8,3,1,2,2,"MOOB IPIRANGA","r campante, 406 . vila independencia",2022,3,1,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,"IPIRANGA",-23.5975614,-46.5932119,1
528777.9,6274.8,84.27,3,1,2,2,"MOOB IPIRANGA","r campante, 406 . vila independencia",2022,3,1,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,"IPIRANGA",-23.5975614,-46.5932119,1
444046.94,6521.47,68.09,2,1,2,1,"MOOB IPIRANGA","r campante, 406 . vila independencia",2022,3,1,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,"IPIRANGA",-23.5975614,-46.5932119,1
505912.03,6343.73,79.75,3,1,2,1,"MOOB IPIRANGA","r campante, 406 . vila independencia",2022,3,1,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,"IPIRANGA",-23.5975614,-46.5932119,1
