"ape_preco","ape_precom2","ape_area","ape_dorm","ape_suite","ape_banheiro","ape_vaga","cond_nome","cond_end","cond_ano","cond_n_torres","cond_elevador","salao.de.festas","espaco.gourmet","academia","salao.de.jogos","brinquedoteca","playground","churrasqueira","quadra","area.verde","piscina","espaco.zen","lavanderia","coworking","zeu","sp_nome","latitude","longitude","gi_df"
"1.050.000",8400,125,3,1,3,1,"condominio itapema","rua paulistania, 520 . vila madalena",1974,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,"PINHEIROS",-23.5484138,-46.6899094,0
"1.000.000",17.241,58,2,0,2,1,"condominio rio das pedras","rua joao moura, 1347 . vila madalena",1984,1,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,"PINHEIROS",-23.5546186,-46.6820973,0
"1.071.000",NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"670.000",15.227,44,1,0,1,1,"condominio vision capote valente","rua capote valente, 1300 . vila madalena",2018,3,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,"PINHEIROS",-23.5511487,-46.6797541,0
"1.190.000",15.063,79,2,1,1,2,"condominio madrigal","rua isabel de castela, 445 . vila madalena",2019,1,1,1,1,1,0,1,1,0,0,1,1,0,0,0,0,"PINHEIROS",-23.5518304,-46.6992679,0
"805.000",10.062,80,3,1,3,1,"condominio paula regina","rua alves guimaraes, 1317 . vila madalena",1977,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,"PINHEIROS",-23.5517895,-46.6814559,0
"730.000",8021,91,2,1,2,1,"condominio jardim do eden","rua cardeal arcoverde, 1878 . vila madalena",1965,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,"PINHEIROS",-23.5619372,-46.6893522,0
"1.200.000",12.765,94,3,1,2,1,"condominio jardim do eden","rua cardeal arcoverde, 1878 . vila madalena",1965,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,"PINHEIROS",-23.5619372,-46.6893522,0
"2.500.000",15.625,160,2,1,3,2,"condominio living loft","rua leao coroado, 202 . vila madalena",2002,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,"PINHEIROS",-23.550839,-46.6989542,0
"2.650.000",14.171,187,3,1,NA,3,"condominio alto de pinheiros","rua pascoal vita, 510 . vila madalena",1990,1,1,1,0,1,0,0,1,1,0,1,1,0,0,0,0,"PINHEIROS",-23.552272,-46.6993827,0
"1.850.000",13.643,129,3,1,1,3,"condominio high village","rua fradique coutinho, 1612 . vila madalena",1997,1,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,"PINHEIROS",-23.5538485,-46.6927575,0
"850.000",9239,92,3,0,2,1,"condominio girassol","rua girassol, 1585 . vila madalena",1976,1,1,1,0,1,0,0,1,1,1,1,0,0,0,0,1,"PINHEIROS",-23.5466122,-46.6941061,0
"1.175.000",10.491,112,2,1,2,1,"condominio odila rocha leite","rua patapio silva, 223 . vila madalena",1974,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,"PINHEIROS",-23.5544729,-46.6852552,0
"1.900.000",10.674,178,3,1,5,3,"condominio buena vista","rua rodesia, 229 . vila madalena",1995,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,"PINHEIROS",-23.5516734,-46.6909738,0
"1.464.000",18.769,78,2,1,2,2,"ND","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"1.527.200",11.747,130,4,1,2,3,"condominio morada da coentral","rua agisse, 268 . vila madalena",1982,1,1,1,1,1,0,1,1,0,1,1,1,0,0,0,1,"PINHEIROS",-23.5500717,-46.6899012,0
"920.000",9583,96,3,1,2,1,"ND","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"855.000",13.153,65,3,0,2,1,"condominio tatiana","rua francisco isoldi, 226 . vila madalena",1991,2,1,1,1,1,1,0,1,0,1,1,1,0,0,0,1,"PINHEIROS",-23.5468354,-46.6944692,0
"800.000",14.285,56,1,0,1,1,"condominio west hills loft","rua jerico, 227 . vila madalena",1995,1,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0,"PINHEIROS",-23.5515106,-46.6896092,0
"770.000",15.098,51,2,1,2,1,"condominio carlos gomes","rua alves guimaraes, 1354 . vila madalena",1998,1,1,1,0,1,0,0,1,0,0,1,1,0,0,0,1,"PINHEIROS",-23.5512385,-46.6813329,0
"690.000",19.166,36,1,0,1,1,"condominio atrio vila madalena","rua heitor penteado, 1977 . vila madalena",2018,1,1,1,1,1,1,0,1,0,0,1,1,0,0,0,0,"PINHEIROS",-23.5425776,-46.6960668,0
"750.000",11.029,68,2,0,2,1,"condominio portobelo","rua pascoal vita, 405 . vila madalena",1984,1,1,1,1,0,1,1,1,0,1,1,0,0,0,0,0,"PINHEIROS",-23.5521026,-46.6984376,0
"2.394.000",16.51,145,3,1,5,3,"condominio chelsea","rua dos moras, 542 . vila madalena",1997,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"PINHEIROS",-23.5567511,-46.6930008,0
"898.000",9760,92,1,1,2,1,"condominio daniela","rua fradique coutinho, 1036 . vila madalena",1973,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,"PINHEIROS",-23.558331,-46.6896969,0
"2.300.000",19.008,121,2,1,3,2,"condominio vernissage pinheiros","rua horacio lane, 59 . vila madalena",2017,1,1,0,1,1,1,1,1,0,1,1,1,0,0,0,0,"PINHEIROS",-23.5599701,-46.6866084,0
"583.000",7197,81,2,0,2,1,"condominio santa rita","rua lisboa, 1128 . vila madalena",1972,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,"PINHEIROS",-23.5549893,-46.6827975,0
"456.000",9120,50,1,0,1,1,"condominio isabel de castela","rua isabel de castela, 478 . vila madalena",1977,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,"PINHEIROS",-23.5514628,-46.6992053,0
"539.000",14.972,36,1,0,1,1,"condominio atrio vila madalena","rua heitor penteado, 1977 . vila madalena",2018,1,1,1,1,1,1,0,1,0,0,1,1,0,0,0,0,"PINHEIROS",-23.5425776,-46.6960668,0
